#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:53:07      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:07      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:08      0     51     35     34      0      0      0      0      -      -    877   1530      0      0 
 11:53:08      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:09      0     53     35     34     41      1      0      0      -      -    877   1530      0      0 
 11:53:09      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:10      0     53     35     34     41      1      0      0      -      -    877   1530      0      0 
 11:53:10      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:11      0     53     35     34     41      1      0      0      -      -    877   1530      0      0 
 11:53:11      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:12      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:12      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:13      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:13      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:14      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:14      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:15      0     53     35     34     36      1      0      0      -      -    877   1530      0      0 
 11:53:15      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:53:16      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:16      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:17      0     53     35     34     37      1      0      0      -      -    877   1530      0      0 
 11:53:17      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:18      0     54     35     34     38      1      0      0      -      -    877   1530      0      0 
 11:53:18      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:19      0     53     35     34     39      1      0      0      -      -    877   1530      0      0 
 11:53:19      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:20      0     53     35     34     41      1      0      0      -      -    877   1530      0      0 
 11:53:20      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:21      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:21      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:22      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:22      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:23      0     53     35     34     40      1      0      0      -      -    877   1530      0      0 
 11:53:23      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:24      0     53     35     34     38      1      0      0      -      -    877   1530      0      0 
 11:53:24      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:25      0     53     35     34     42      1      0      0      -      -    877   1530      0      0 
 11:53:25      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:26      0     51     35     34      0      0      0      0      -      -    877   1530      0      0 
 11:53:26      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:27      0     51     35     34      0      0      0      0      -      -    877   1530      0      0 
 11:53:27      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:28      0     51     35     34      0      0      0      0      -      -    877   1530      0      0 
 11:53:28      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:53:29      0     30     34     34      0      0      0      0      -      -    877    495      0      0 
 11:53:29      1     31     33     31      0      0      0      0      -      -    877    420      0      0 
 11:53:30      0     30     34     34      0      0      0      0      -      -    877    495      0      0 
 11:53:30      1     31     33     31      0      0      0      0      -      -    877    420      0      0 
 11:53:32      0     27     34     34      0      0      0      0      -      -    877    135      0      0 
 11:53:32      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:33      0     27     34     34      0      0      0      0      -      -    877    135      0      0 
 11:53:33      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:34      0     27     34     34      0      0      0      0      -      -    877    135      0      0 
 11:53:34      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:35      0     27     34     34      0      0      0      0      -      -    877    135      0      0 
 11:53:35      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:36      0     27     34     33      0      0      0      0      -      -    877    135      0      0 
 11:53:36      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:37      0     27     34     33      0      0      0      0      -      -    877    135      0      0 
 11:53:37      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:38      0     27     34     33      0      0      0      0      -      -    877    135      0      0 
 11:53:38      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:53:39      0     27     34     34      0      0      0      0      -      -    877    135      0      0 
 11:53:39      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:40      0     27     34     34      0      0      0      0      -      -    877    135      0      0 
 11:53:40      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:41      0     27     34     33      0      0      0      0      -      -    877    135      0      0 
 11:53:41      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:42      0     27     34     33      0      0      0      0      -      -    877    135      0      0 
 11:53:42      1     30     33     31      0      0      0      0      -      -    877    135      0      0 
 11:53:43      0     37     34     33      0      0      0      0      -      -    877   1312      0      0 
 11:53:43      1     30     33     30      0      0      0      0      -      -    877    135      0      0 
 11:53:44      0     42     34     33     32      0      0      0      -      -    877   1312      0      0 
 11:53:44      1     45     33     31      0      0      0      0      -      -    877   1312      0      0 
